Latitude,Longitude,Anomaly,Temp_Deviation,Zonal_Mean
-87.5,2.5,-1.38,-2.3109876543209866,-0.7522222222222222
-87.5,7.5,-0.26,-1.190987654320987,-0.7522222222222222
-87.5,12.5,-1.44,-2.370987654320987,-0.7522222222222222
-87.5,17.5,-0.68,-1.610987654320987,-0.7522222222222222
-87.5,22.5,-1.33,-2.260987654320987,-0.7522222222222222
-87.5,27.5,-2.32,-3.250987654320987,-0.7522222222222222
-87.5,32.5,-0.27,-1.200987654320987,-0.7522222222222222
-87.5,37.5,-1.06,-1.990987654320987,-0.7522222222222222
-87.5,42.5,-1.38,-2.3109876543209866,-0.7522222222222222
-87.5,47.5,-0.87,-1.8009876543209868,-0.7522222222222222
-87.5,52.5,-1.41,-2.340987654320987,-0.7522222222222222
-87.5,57.5,-0.68,-1.610987654320987,-0.7522222222222222
-87.5,62.5,-0.43,-1.360987654320987,-0.7522222222222222
-87.5,67.5,-0.63,-1.560987654320987,-0.7522222222222222
-87.5,72.5,0.02,-0.9109876543209869,-0.7522222222222222
-87.5,77.5,0.03,-0.9009876543209869,-0.7522222222222222
-87.5,82.5,-1.45,-2.380987654320987,-0.7522222222222222
-87.5,87.5,0.32,-0.6109876543209869,-0.7522222222222222
-87.5,92.5,-0.37,-1.3009876543209868,-0.7522222222222222
-87.5,97.5,-1.14,-2.070987654320987,-0.7522222222222222
-87.5,102.5,-0.86,-1.790987654320987,-0.7522222222222222
-87.5,107.5,-0.57,-1.500987654320987,-0.7522222222222222
-87.5,112.5,0.79,-0.14098765432098692,-0.7522222222222222
-87.5,117.5,-0.25,-1.180987654320987,-0.7522222222222222
-87.5,122.5,-0.2,-1.130987654320987,-0.7522222222222222
-87.5,127.5,-0.86,-1.790987654320987,-0.7522222222222222
-87.5,132.5,-1.44,-2.370987654320987,-0.7522222222222222
-87.5,137.5,-0.43,-1.360987654320987,-0.7522222222222222
-87.5,142.5,-0.37,-1.3009876543209868,-0.7522222222222222
-87.5,147.5,-0.68,-1.610987654320987,-0.7522222222222222
-87.5,152.5,-1.92,-2.8509876543209867,-0.7522222222222222
-87.5,157.5,-0.24,-1.170987654320987,-0.7522222222222222
-87.5,162.5,-2.26,-3.1909876543209865,-0.7522222222222222
-87.5,167.5,-0.79,-1.720987654320987,-0.7522222222222222
-87.5,172.5,0.06,-0.8709876543209869,-0.7522222222222222
-87.5,177.5,-0.33,-1.260987654320987,-0.7522222222222222
-82.5,2.5,0.85,-0.08098765432098698,-0.5036111111111111
-82.5,7.5,-0.06,-0.990987654320987,-0.5036111111111111
-82.5,12.5,0.21,-0.720987654320987,-0.5036111111111111
-82.5,17.5,-0.13,-1.060987654320987,-0.5036111111111111
-82.5,22.5,-0.21,-1.140987654320987,-0.5036111111111111
-82.5,27.5,-0.43,-1.360987654320987,-0.5036111111111111
-82.5,32.5,0.11,-0.820987654320987,-0.5036111111111111
