Year,Month,Value,Cumulative_Anomaly,Monthly_Avg
1929,3,-0.37,-1.1099999999999999,0.04362068965517246
1930,3,-0.24,-0.8400000000000001,0.04362068965517246
1931,3,-0.08,-0.2,0.04362068965517246
1932,3,-0.06,0.03,0.04362068965517246
1933,3,-0.22,-0.6,0.04362068965517246
1934,3,-0.2,-0.6300000000000001,0.04362068965517246
1935,3,-0.11,-0.49,0.04362068965517246
1936,3,-0.25,-0.8200000000000001,0.04362068965517246
1937,3,-0.08,-0.16999999999999998,0.04362068965517246
1938,3,0.06,0.14,0.04362068965517246
1939,3,-0.11,-0.22999999999999998,0.04362068965517246
1940,3,0.13,0.4,0.04362068965517246
1941,3,0.22,0.67,0.04362068965517246
1942,3,0.14,0.61,0.04362068965517246
1943,3,0.01,0.05,0.04362068965517246
1944,3,0.3,0.9199999999999999,0.04362068965517246
1945,3,0.12,0.47,0.04362068965517246
1946,3,0.06,0.36,0.04362068965517246
1947,3,0.03,0.06,0.04362068965517246
1948,3,-0.1,-0.13,0.04362068965517246
1949,3,0.0,0.08,0.04362068965517246
1950,3,-0.16,-0.5700000000000001,0.04362068965517246
1951,3,-0.28,-0.95,0.04362068965517246
1952,3,0.08,0.36000000000000004,0.04362068965517246
1953,3,0.14,0.36,0.04362068965517246
1954,3,-0.11,-0.39,0.04362068965517246
1955,3,-0.11,-0.009999999999999995,0.04362068965517246
1956,3,-0.13,-0.33,0.04362068965517246
1957,3,-0.06,-0.16,0.04362068965517246
1958,3,0.23,0.87,0.04362068965517246
1959,3,0.14,0.37,0.04362068965517246
1960,3,-0.01,0.13,0.04362068965517246
1961,3,0.13,0.38,0.04362068965517246
1962,3,0.13,0.3,0.04362068965517246
1963,3,0.04,0.17,0.04362068965517246
1964,3,-0.13,-0.26,0.04362068965517246
1965,3,-0.12,-0.31,0.04362068965517246
1966,3,-0.06,-0.3,0.04362068965517246
1967,3,-0.08,-0.31,0.04362068965517246
1968,3,-0.06,-0.44,0.04362068965517246
1969,3,-0.02,-0.13999999999999999,0.04362068965517246
1970,3,0.16,0.52,0.04362068965517246
1971,3,-0.1,-0.23,0.04362068965517246
1972,3,-0.08,-0.43,0.04362068965517246
1973,3,0.31,0.94,0.04362068965517246
1974,3,-0.13,-0.38,0.04362068965517246
1975,3,0.1,0.22000000000000003,0.04362068965517246
1976,3,-0.09,-0.16,0.04362068965517246
1977,3,0.23,0.71,0.04362068965517246
1978,3,0.16,0.42000000000000004,0.04362068965517246
1979,3,0.1,0.32,0.04362068965517246
1980,3,0.39,1.17,0.04362068965517246
1981,3,0.47,1.46,0.04362068965517246
1982,3,0.12,0.37,0.04362068965517246
1983,3,0.46,1.42,0.04362068965517246
1984,3,0.27,0.8200000000000001,0.04362068965517246
1985,3,0.18,0.6200000000000001,0.04362068965517246
1986,3,0.33,0.9500000000000002,0.04362068965517246
1987,3,0.31,1.01,0.04362068965517246
1988,3,0.51,1.56,0.04362068965517246
1989,3,0.25,0.56,0.04362068965517246
1990,3,0.51,1.27,0.04362068965517246
1991,3,0.42,1.27,0.04362068965517246
1992,3,0.44,1.31,0.04362068965517246
1993,3,0.36,1.0499999999999998,0.04362068965517246
1994,3,0.2,0.5700000000000001,0.04362068965517246
1995,3,0.6,1.8000000000000003,0.04362068965517246
1996,3,0.38,1.05,0.04362068965517246
1997,3,0.38,0.9700000000000001,0.04362068965517246
1998,3,0.68,1.9700000000000002,0.04362068965517246
1999,3,0.49,1.52,0.04362068965517246
2000,3,0.47,1.22,0.04362068965517246
2001,3,0.48,1.37,0.04362068965517246
2002,3,0.73,2.09,0.04362068965517246
2003,3,0.64,2.0300000000000002,0.04362068965517246
2004,3,0.67,1.96,0.04362068965517246
2005,3,0.71,2.17,0.04362068965517246
2006,3,0.68,1.96,0.04362068965517246
2007,3,0.77,2.51,0.04362068965517246
2008,3,0.44,1.02,0.04362068965517246
2009,3,0.58,1.8599999999999999,0.04362068965517246
2010,3,0.83,2.41,0.04362068965517246
2011,3,0.57,1.6600000000000001,0.04362068965517246
2012,3,0.52,1.55,0.04362068965517246
2013,3,0.65,1.98,0.04362068965517246
2014,3,0.71,2.13,0.04362068965517246
2015,3,0.88,2.56,0.04362068965517246
2016,3,1.3,3.79,0.04362068965517246
2017,3,1.09,3.2199999999999998,0.04362068965517246
2018,3,0.87,2.57,0.04362068965517246
2019,3,0.99,2.83,0.04362068965517246
2020,3,1.17,3.51,0.04362068965517246
2021,3,0.79,2.38,0.04362068965517246
2022,3,0.96,2.79,0.04362068965517246
2023,3,1.05,2.8899999999999997,0.04362068965517246
1850,4,-0.31,-1.3900000000000001,0.04155172413793103
1851,4,-0.21,-0.66,0.04155172413793103
1852,4,-0.25,-0.62,0.04155172413793103
1853,4,-0.22,-0.73,0.04155172413793103
1854,4,-0.15,-0.8200000000000001,0.04155172413793103
1855,4,-0.07,-0.30000000000000004,0.04155172413793103
1856,4,-0.04,0.23,0.04155172413793103
1857,4,-0.24,-0.86,0.04155172413793103
1858,4,-0.17,-0.65,0.04155172413793103
1859,4,-0.07,-0.42000000000000004,0.04155172413793103
1860,4,-0.2,-0.7,0.04155172413793103
1861,4,-0.45,-2.14,0.04155172413793103
1862,4,-0.44,-1.7999999999999998,0.04155172413793103
1863,4,-0.18,-0.7,0.04155172413793103
1864,4,-0.26,-1.17,0.04155172413793103
1865,4,-0.15,-0.16999999999999998,0.04155172413793103
1866,4,-0.08,-0.1,0.04155172413793103
1867,4,-0.29,-0.95,0.04155172413793103
1868,4,-0.23,-1.16,0.04155172413793103
1869,4,-0.01,0.15,0.04155172413793103
1870,4,-0.19,-0.74,0.04155172413793103
1871,4,-0.18,-1.0999999999999999,0.04155172413793103
1872,4,-0.25,-1.02,0.04155172413793103
1873,4,-0.31,-1.01,0.04155172413793103
1874,4,-0.27,-0.95,0.04155172413793103
1875,4,-0.19,-0.67,0.04155172413793103
1876,4,-0.28,-1.11,0.04155172413793103
1877,4,-0.02,-0.21999999999999997,0.04155172413793103
1878,4,0.23,0.81,0.04155172413793103
1879,4,-0.09,-0.31000000000000005,0.04155172413793103
1880,4,-0.24,-1.19,0.04155172413793103
1881,4,-0.06,-0.38999999999999996,0.04155172413793103
1882,4,-0.06,0.020000000000000004,0.04155172413793103
1883,4,-0.21,-0.87,0.04155172413793103
1884,4,-0.29,-0.95,0.04155172413793103
1885,4,-0.37,-1.4700000000000002,0.04155172413793103
1886,4,-0.34,-1.34,0.04155172413793103
1887,4,-0.45,-2.13,0.04155172413793103
1888,4,-0.25,-0.85,0.04155172413793103
1889,4,0.11,0.44999999999999996,0.04155172413793103
1890,4,-0.36,-1.4,0.04155172413793103
1891,4,-0.31,-1.33,0.04155172413793103
1892,4,-0.2,-0.71,0.04155172413793103
1893,4,-0.44,-1.97,0.04155172413793103
1894,4,-0.44,-1.92,0.04155172413793103
1895,4,-0.29,-1.28,0.04155172413793103
1896,4,-0.2,-0.71,0.04155172413793103
1897,4,-0.1,-0.49,0.04155172413793103
1898,4,-0.33,-1.1400000000000001,0.04155172413793103
1899,4,-0.27,-1.18,0.04155172413793103
1900,4,-0.08,-0.52,0.04155172413793103
1901,4,-0.03,-0.43999999999999995,0.04155172413793103
1902,4,-0.19,-0.6300000000000001,0.04155172413793103
1903,4,-0.26,-0.89,0.04155172413793103
1904,4,-0.51,-2.17,0.04155172413793103
1905,4,-0.32,-1.35,0.04155172413793103
1906,4,-0.17,-0.9600000000000001,0.04155172413793103
1907,4,-0.36,-1.4,0.04155172413793103
1908,4,-0.43,-1.66,0.04155172413793103
1909,4,-0.52,-2.24,0.04155172413793103
1910,4,-0.4,-1.5299999999999998,0.04155172413793103
1911,4,-0.53,-2.24,0.04155172413793103
1912,4,-0.27,-1.08,0.04155172413793103
1913,4,-0.39,-1.5100000000000002,0.04155172413793103
1914,4,-0.16,-0.4600000000000001,0.04155172413793103
1915,4,-0.02,-0.32,0.04155172413793103
1916,4,-0.17,-0.6000000000000001,0.04155172413793103
1917,4,-0.58,-2.29,0.04155172413793103
1918,4,-0.43,-1.8099999999999998,0.04155172413793103
1919,4,-0.14,-0.53,0.04155172413793103
1920,4,-0.19,-0.71,0.04155172413793103
1921,4,-0.23,-0.73,0.04155172413793103
1922,4,-0.22,-0.96,0.04155172413793103
1923,4,-0.33,-1.26,0.04155172413793103
1924,4,-0.15,-0.62,0.04155172413793103
1925,4,-0.3,-1.4500000000000002,0.04155172413793103
1926,4,0.08,0.44,0.04155172413793103
1927,4,-0.26,-0.98,0.04155172413793103
1928,4,-0.16,-0.48,0.04155172413793103
1929,4,-0.37,-1.48,0.04155172413793103
1930,4,-0.21,-1.05,0.04155172413793103
1931,4,-0.1,-0.30000000000000004,0.04155172413793103
1932,4,-0.05,-0.020000000000000004,0.04155172413793103
1933,4,-0.21,-0.8099999999999999,0.04155172413793103
1934,4,-0.22,-0.8500000000000001,0.04155172413793103
1935,4,-0.17,-0.66,0.04155172413793103
1936,4,-0.22,-1.04,0.04155172413793103
1937,4,-0.1,-0.27,0.04155172413793103
1938,4,0.06,0.2,0.04155172413793103
1939,4,-0.11,-0.33999999999999997,0.04155172413793103
1940,4,0.16,0.56,0.04155172413793103
1941,4,0.23,0.9,0.04155172413793103
1942,4,0.14,0.75,0.04155172413793103
1943,4,0.04,0.09,0.04155172413793103
1944,4,0.28,1.2,0.04155172413793103
1945,4,0.16,0.63,0.04155172413793103
1946,4,0.05,0.41,0.04155172413793103
1947,4,0.04,0.1,0.04155172413793103
1948,4,-0.09,-0.22,0.04155172413793103
1949,4,-0.01,0.07,0.04155172413793103
1950,4,-0.16,-0.7300000000000001,0.04155172413793103
1951,4,-0.25,-1.2,0.04155172413793103
1952,4,0.08,0.44000000000000006,0.04155172413793103
1953,4,0.18,0.54,0.04155172413793103
1954,4,-0.12,-0.51,0.04155172413793103
1955,4,-0.14,-0.15000000000000002,0.04155172413793103
1956,4,-0.16,-0.49,0.04155172413793103
1957,4,-0.03,-0.19,0.04155172413793103
1958,4,0.19,1.06,0.04155172413793103
1959,4,0.14,0.51,0.04155172413793103
1960,4,-0.04,0.09,0.04155172413793103
1961,4,0.13,0.51,0.04155172413793103
1962,4,0.11,0.41,0.04155172413793103
1963,4,0.02,0.19,0.04155172413793103
1964,4,-0.16,-0.42000000000000004,0.04155172413793103
1965,4,-0.13,-0.44,0.04155172413793103
1966,4,-0.07,-0.37,0.04155172413793103
1967,4,-0.07,-0.38,0.04155172413793103
1968,4,-0.06,-0.5,0.04155172413793103
1969,4,0.03,-0.10999999999999999,0.04155172413793103
1970,4,0.15,0.67,0.04155172413793103
1971,4,-0.09,-0.32,0.04155172413793103
1972,4,-0.05,-0.48,0.04155172413793103
1973,4,0.32,1.26,0.04155172413793103
1974,4,-0.12,-0.5,0.04155172413793103
1975,4,0.1,0.32000000000000006,0.04155172413793103
1976,4,-0.07,-0.23,0.04155172413793103
1977,4,0.23,0.94,0.04155172413793103
1978,4,0.16,0.5800000000000001,0.04155172413793103
1979,4,0.1,0.42000000000000004,0.04155172413793103
1980,4,0.38,1.5499999999999998,0.04155172413793103
1981,4,0.44,1.9,0.04155172413793103
1982,4,0.13,0.5,0.04155172413793103
1983,4,0.41,1.8299999999999998,0.04155172413793103
1984,4,0.23,1.05,0.04155172413793103
1985,4,0.17,0.7900000000000001,0.04155172413793103
1986,4,0.31,1.2600000000000002,0.04155172413793103
1987,4,0.3,1.31,0.04155172413793103
1988,4,0.5,2.06,0.04155172413793103
1989,4,0.26,0.8200000000000001,0.04155172413793103
1990,4,0.53,1.8,0.04155172413793103
1991,4,0.45,1.72,0.04155172413793103
1992,4,0.41,1.72,0.04155172413793103
1993,4,0.35,1.4,0.04155172413793103
1994,4,0.25,0.8200000000000001,0.04155172413793103
1995,4,0.58,2.3800000000000003,0.04155172413793103
1996,4,0.37,1.42,0.04155172413793103
1997,4,0.38,1.35,0.04155172413793103
1998,4,0.69,2.66,0.04155172413793103
1999,4,0.46,1.98,0.04155172413793103
2000,4,0.5,1.72,0.04155172413793103
2001,4,0.49,1.86,0.04155172413793103
2002,4,0.69,2.78,0.04155172413793103
2003,4,0.63,2.66,0.04155172413793103
2004,4,0.65,2.61,0.04155172413793103
2005,4,0.71,2.88,0.04155172413793103
2006,4,0.65,2.61,0.04155172413793103
2007,4,0.77,3.28,0.04155172413793103
2008,4,0.46,1.48,0.04155172413793103
2009,4,0.58,2.44,0.04155172413793103
2010,4,0.85,3.2600000000000002,0.04155172413793103
2011,4,0.6,2.2600000000000002,0.04155172413793103
2012,4,0.57,2.12,0.04155172413793103
2013,4,0.64,2.62,0.04155172413793103
2014,4,0.73,2.86,0.04155172413793103
2015,4,0.86,3.42,0.04155172413793103
2016,4,1.26,5.05,0.04155172413793103
2017,4,1.05,4.27,0.04155172413793103
2018,4,0.88,3.4499999999999997,0.04155172413793103
2019,4,1.01,3.84,0.04155172413793103
2020,4,1.16,4.67,0.04155172413793103
2021,4,0.79,3.17,0.04155172413793103
2022,4,0.94,3.73,0.04155172413793103
2023,4,1.03,3.92,0.04155172413793103
1850,5,-0.3,-1.6900000000000002,0.040977011494252855
1851,5,-0.22,-0.88,0.040977011494252855
1852,5,-0.22,-0.84,0.040977011494252855
1853,5,-0.19,-0.9199999999999999,0.040977011494252855
1854,5,-0.14,-0.9600000000000001,0.040977011494252855
1855,5,-0.08,-0.38000000000000006,0.040977011494252855
1856,5,-0.08,0.15000000000000002,0.040977011494252855
1857,5,-0.26,-1.12,0.040977011494252855
1858,5,-0.21,-0.86,0.040977011494252855
1859,5,-0.05,-0.47000000000000003,0.040977011494252855
1860,5,-0.21,-0.9099999999999999,0.040977011494252855
1861,5,-0.44,-2.58,0.040977011494252855
1862,5,-0.44,-2.2399999999999998,0.040977011494252855
1863,5,-0.2,-0.8999999999999999,0.040977011494252855
1864,5,-0.23,-1.4,0.040977011494252855
1865,5,-0.17,-0.33999999999999997,0.040977011494252855
1866,5,-0.1,-0.2,0.040977011494252855
1867,5,-0.3,-1.25,0.040977011494252855
1868,5,-0.21,-1.3699999999999999,0.040977011494252855
1869,5,-0.02,0.13,0.040977011494252855
1870,5,-0.18,-0.9199999999999999,0.040977011494252855
1871,5,-0.17,-1.2699999999999998,0.040977011494252855
1872,5,-0.24,-1.26,0.040977011494252855
1873,5,-0.3,-1.31,0.040977011494252855
1874,5,-0.29,-1.24,0.040977011494252855
1875,5,-0.19,-0.8600000000000001,0.040977011494252855
1876,5,-0.32,-1.4300000000000002,0.040977011494252855
1877,5,-0.01,-0.22999999999999998,0.040977011494252855
1878,5,0.19,1.0,0.040977011494252855
1879,5,-0.09,-0.4,0.040977011494252855
1880,5,-0.22,-1.41,0.040977011494252855
1881,5,-0.04,-0.42999999999999994,0.040977011494252855
1882,5,-0.07,-0.05,0.040977011494252855
1883,5,-0.2,-1.07,0.040977011494252855
1884,5,-0.3,-1.25,0.040977011494252855
1885,5,-0.35,-1.8200000000000003,0.040977011494252855
1886,5,-0.33,-1.6700000000000002,0.040977011494252855
1887,5,-0.42,-2.55,0.040977011494252855
1888,5,-0.23,-1.08,0.040977011494252855
1889,5,0.11,0.5599999999999999,0.040977011494252855
1890,5,-0.35,-1.75,0.040977011494252855
1891,5,-0.28,-1.61,0.040977011494252855
1892,5,-0.22,-0.9299999999999999,0.040977011494252855
1893,5,-0.41,-2.38,0.040977011494252855
1894,5,-0.4,-2.32,0.040977011494252855
1895,5,-0.29,-1.57,0.040977011494252855
1896,5,-0.21,-0.9199999999999999,0.040977011494252855
1897,5,-0.09,-0.58,0.040977011494252855
1898,5,-0.3,-1.4400000000000002,0.040977011494252855
1899,5,-0.27,-1.45,0.040977011494252855
1900,5,-0.08,-0.6,0.040977011494252855
1901,5,-0.05,-0.48999999999999994,0.040977011494252855
1902,5,-0.2,-0.8300000000000001,0.040977011494252855
1903,5,-0.27,-1.1600000000000001,0.040977011494252855
1904,5,-0.5,-2.67,0.040977011494252855
1905,5,-0.3,-1.6500000000000001,0.040977011494252855
1906,5,-0.17,-1.1300000000000001,0.040977011494252855
1907,5,-0.37,-1.77,0.040977011494252855
1908,5,-0.42,-2.08,0.040977011494252855
1909,5,-0.5,-2.74,0.040977011494252855
1910,5,-0.38,-1.9099999999999997,0.040977011494252855
1911,5,-0.52,-2.7600000000000002,0.040977011494252855
1912,5,-0.25,-1.33,0.040977011494252855
1913,5,-0.4,-1.9100000000000001,0.040977011494252855
1914,5,-0.17,-0.6300000000000001,0.040977011494252855
1915,5,-0.01,-0.33,0.040977011494252855
1916,5,-0.18,-0.78,0.040977011494252855
1917,5,-0.57,-2.86,0.040977011494252855
1918,5,-0.42,-2.23,0.040977011494252855
1919,5,-0.15,-0.68,0.040977011494252855
1920,5,-0.19,-0.8999999999999999,0.040977011494252855
1921,5,-0.22,-0.95,0.040977011494252855
1922,5,-0.24,-1.2,0.040977011494252855
1923,5,-0.31,-1.57,0.040977011494252855
1924,5,-0.14,-0.76,0.040977011494252855
1925,5,-0.28,-1.7300000000000002,0.040977011494252855
1926,5,0.03,0.47,0.040977011494252855
1927,5,-0.25,-1.23,0.040977011494252855
1928,5,-0.16,-0.64,0.040977011494252855
1929,5,-0.37,-1.85,0.040977011494252855
1930,5,-0.2,-1.25,0.040977011494252855
1931,5,-0.11,-0.41000000000000003,0.040977011494252855
1932,5,-0.07,-0.09000000000000001,0.040977011494252855
1933,5,-0.21,-1.02,0.040977011494252855
1934,5,-0.18,-1.03,0.040977011494252855
1935,5,-0.19,-0.8500000000000001,0.040977011494252855
1936,5,-0.21,-1.25,0.040977011494252855
1937,5,-0.09,-0.36,0.040977011494252855
1938,5,0.04,0.24000000000000002,0.040977011494252855
1939,5,-0.09,-0.42999999999999994,0.040977011494252855
1940,5,0.16,0.7200000000000001,0.040977011494252855
1941,5,0.22,1.12,0.040977011494252855
1942,5,0.13,0.88,0.040977011494252855
1943,5,0.04,0.13,0.040977011494252855
1944,5,0.27,1.47,0.040977011494252855
1945,5,0.16,0.79,0.040977011494252855
1946,5,0.04,0.44999999999999996,0.040977011494252855
1947,5,0.03,0.13,0.040977011494252855
1948,5,-0.05,-0.27,0.040977011494252855
1949,5,-0.01,0.060000000000000005,0.040977011494252855
1950,5,-0.13,-0.8600000000000001,0.040977011494252855
1951,5,-0.19,-1.39,0.040977011494252855
1952,5,0.07,0.51,0.040977011494252855
1953,5,0.17,0.7100000000000001,0.040977011494252855
1954,5,-0.13,-0.64,0.040977011494252855
1955,5,-0.14,-0.29000000000000004,0.040977011494252855
1956,5,-0.18,-0.6699999999999999,0.040977011494252855
1957,5,-0.01,-0.2,0.040977011494252855
1958,5,0.17,1.23,0.040977011494252855
1959,5,0.13,0.64,0.040977011494252855
1960,5,-0.04,0.049999999999999996,0.040977011494252855
1961,5,0.14,0.65,0.040977011494252855
1962,5,0.08,0.49,0.040977011494252855
1963,5,0.01,0.2,0.040977011494252855
1964,5,-0.17,-0.5900000000000001,0.040977011494252855
1965,5,-0.13,-0.5700000000000001,0.040977011494252855
1966,5,-0.07,-0.44,0.040977011494252855
1967,5,-0.02,-0.4,0.040977011494252855
1968,5,-0.06,-0.56,0.040977011494252855
1969,5,0.07,-0.03999999999999998,0.040977011494252855
1970,5,0.12,0.79,0.040977011494252855
1971,5,-0.07,-0.39,0.040977011494252855
1972,5,-0.04,-0.52,0.040977011494252855
1973,5,0.31,1.57,0.040977011494252855
1974,5,-0.09,-0.59,0.040977011494252855
1975,5,0.11,0.43000000000000005,0.040977011494252855
1976,5,-0.09,-0.32,0.040977011494252855
1977,5,0.25,1.19,0.040977011494252855
1978,5,0.15,0.7300000000000001,0.040977011494252855
1979,5,0.1,0.52,0.040977011494252855
1980,5,0.38,1.9299999999999997,0.040977011494252855
1981,5,0.41,2.31,0.040977011494252855
1982,5,0.14,0.64,0.040977011494252855
1983,5,0.4,2.23,0.040977011494252855
1984,5,0.26,1.31,0.040977011494252855
1985,5,0.17,0.9600000000000002,0.040977011494252855
1986,5,0.3,1.5600000000000003,0.040977011494252855
1987,5,0.3,1.61,0.040977011494252855
1988,5,0.49,2.55,0.040977011494252855
1989,5,0.25,1.07,0.040977011494252855
1990,5,0.53,2.33,0.040977011494252855
1991,5,0.44,2.16,0.040977011494252855
1992,5,0.39,2.11,0.040977011494252855
1993,5,0.34,1.74,0.040977011494252855
1994,5,0.26,1.08,0.040977011494252855
1995,5,0.53,2.91,0.040977011494252855
1996,5,0.36,1.7799999999999998,0.040977011494252855
